sku,name,generic_name,brand_name,category_code,strength,base_unit_abbreviation,purchase_unit_abbreviation,dispensing_unit_abbreviation,selling_price,reorder_level,status,manage_stock
FRE-10MG-TABCAP,"FREEHALE 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,31.43,12,active,1
ZYT-500MG-TABCAP,"ZYTO 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,85.56999999999999,12,active,1
RIT-500MG-TABCAP,"RITHMO 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,76.33,12,active,1
ASC-TABCAP,"ASCARD PLUS TAB",,,TAB_CAP,,TAB,TAB,TAB,23.9,12,active,1
CYC-250MG-TABCAP,"CYCIN 250MG TAB",,,TAB_CAP,250MG,TAB,TAB,TAB,26,12,active,1
CYC-500MG-TABCAP,"CYCIN 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,46,12,active,1
PYL-250MG-TABCAP,"PYLOCLAR 250MG TAB",,,TAB_CAP,250MG,TAB,TAB,TAB,64,12,active,1
ZEE-1MG-TABCAP,"ZEENARYL 1MG TAB",,,TAB_CAP,1MG,TAB,TAB,TAB,8,12,active,1
ZEE-2MG-TABCAP,"ZEENARYL 2MG TAB",,,TAB_CAP,2MG,TAB,TAB,TAB,12,12,active,1
ZEE-3MG-TABCAP,"ZEENARYL 3MG TAB",,,TAB_CAP,3MG,TAB,TAB,TAB,12.7,12,active,1
ZEE-4MG-TABCAP,"ZEENARYL 4MG TAB",,,TAB_CAP,4MG,TAB,TAB,TAB,18,12,active,1
QSA-50MG-TABCAP,"Q SARTAN 50MG TAB",,,TAB_CAP,50MG,TAB,TAB,TAB,18.4,12,active,1
QSA-TABCAP,"Q SARTAN PLUS TAB",,,TAB_CAP,,TAB,TAB,TAB,22.22,12,active,1
FOR-5MG-TABCAP,"FORTIUS 5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,18.6,12,active,1
FOR-10MG-TABCAP,"FORTIUS 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,36.4,12,active,1
FOR-20MG-TABCAP,"FORTIUS 20MG TAB",,,TAB_CAP,20MG,TAB,TAB,TAB,48.6,12,active,1
STO-50MG-TABCAP,"STOMOCOL 50MG TAB",,,TAB_CAP,50MG,TAB,TAB,TAB,9.029999999999999,12,active,1
FAM-20MG-TABCAP,"FAMOPSIN 20MG TAB",,,TAB_CAP,20MG,TAB,TAB,TAB,10,12,active,1
FAM-40MG-TABCAP,"FAMOPSIN 40MG TAB",,,TAB_CAP,40MG,TAB,TAB,TAB,10,12,active,1
LOP-75MG-TABCAP,"LOPLATE 75MG TAB",,,TAB_CAP,75MG,TAB,TAB,TAB,25.3,12,active,1
ALK-TABCAP,"ALKERIS TAB",,,TAB_CAP,,TAB,TAB,TAB,12.5,12,active,1
ARC-240MG-TABCAP,"ARCEVA 40/240MG",,,TAB_CAP,240MG,TAB,TAB,TAB,24,12,active,1
XEN-TABCAP,"XENOM TAB",,,TAB_CAP,,TAB,TAB,TAB,20,12,active,1
DER-TABCAP,"DERICIN TAB",,,TAB_CAP,,TAB,TAB,TAB,66.63,12,active,1
INT-TABCAP,"INTIG D TAB",,,TAB_CAP,,TAB,TAB,TAB,16.5,12,active,1
DEL-60MG-TABCAP,"DELANZO DDR 60MG CAP",,,TAB_CAP,60MG,TAB,TAB,TAB,27.17,12,active,1
CIP-500MG-TABCAP,"CIPRO 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,70.40000000000001,12,active,1
URI-40MG-TABCAP,"URIGO 40MG TAB",,,TAB_CAP,40MG,TAB,TAB,TAB,22.5,12,active,1
URI-80MG-TABCAP,"URIGO 80MG TAB",,,TAB_CAP,80MG,TAB,TAB,TAB,24.75,12,active,1
MOV-2MG-TABCAP,"MOVAX 2MG TAB",,,TAB_CAP,2MG,TAB,TAB,TAB,25.5,12,active,1
MOV-4MG-TABCAP,"MOVAX 4MG TAB",,,TAB_CAP,4MG,TAB,TAB,TAB,34.75,12,active,1
NOV-500MG-TABCAP,"NOVIDATE 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,43,12,active,1
ANG-TABCAP,"ANGISID TAB",,,TAB_CAP,,TAB,TAB,TAB,3.47,12,active,1
PUR-40MG-TABCAP,"PURPAL 40MG CAP",,,TAB_CAP,40MG,TAB,TAB,TAB,34.5,12,active,1
BRE-TABCAP,"BREEKY TAB",,,TAB_CAP,,TAB,TAB,TAB,19.35,12,active,1
NIM-TABCAP,"NIMS TAB",,,TAB_CAP,,TAB,TAB,TAB,12.5,12,active,1
PRO-TABCAP,"PROVAS N TAB",,,TAB_CAP,,TAB,TAB,TAB,8.59,12,active,1
PRO-TABCAP-001,"PROVAS N FORT TAB",,,TAB_CAP,,TAB,TAB,TAB,11,12,active,1
PRO-TABCAP-002,"PROVAS EZ TAB",,,TAB_CAP,,TAB,TAB,TAB,11.33,12,active,1
PRO-TABCAP-003,"PROVAS DUO TAB",,,TAB_CAP,,TAB,TAB,TAB,7.5,12,active,1
CUN-100MG-TABCAP,"CUNIM 100MG TAB",,,TAB_CAP,100MG,TAB,TAB,TAB,8.8,12,active,1
MAR-20MG-TABCAP,"MARK 20MG CAP",,,TAB_CAP,20MG,TAB,TAB,TAB,13.57,12,active,1
MAR-40MG-TABCAP,"MARK 40MG CAP",,,TAB_CAP,40MG,TAB,TAB,TAB,16.79,12,active,1
CEF-200MG-TABCAP,"CEFIM 200MG CAP",,,TAB_CAP,200MG,TAB,TAB,TAB,56,12,active,1
CEF-400MG-TABCAP,"CEFIM 400MG CAP",,,TAB_CAP,400MG,TAB,TAB,TAB,94,12,active,1
ZOP-40MG-TABCAP,"ZOPENT 40MG TAB",,,TAB_CAP,40MG,TAB,TAB,TAB,75,12,active,1
FLU-20MG-TABCAP,"FLUX 20MG CAP",,,TAB_CAP,20MG,TAB,TAB,TAB,28.66,12,active,1
HIT-50MG-TABCAP,"HITOP 50MG TAB",,,TAB_CAP,50MG,TAB,TAB,TAB,134.5,12,active,1
HIT-100MG-TABCAP,"HITOP 100MG TAB",,,TAB_CAP,100MG,TAB,TAB,TAB,168.30000000000001,12,active,1
VIR-8MG-TABCAP,"VIRGO 8MG TAB",,,TAB_CAP,8MG,TAB,TAB,TAB,9.63,12,active,1
VIR-16MG-TABCAP,"VIRGO 16MG TAB",,,TAB_CAP,16MG,TAB,TAB,TAB,14.6,12,active,1
VIR-24MG-TABCAP,"VIRGO 24MG TAB",,,TAB_CAP,24MG,TAB,TAB,TAB,22,12,active,1
OLE-5MG-TABCAP,"OLEPRA 5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,11.79,12,active,1
OLE-10MG-TABCAP,"OLEPRA 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,17.36,12,active,1
ENV-TABCAP,"ENVEPE TAB",,,TAB_CAP,,TAB,TAB,TAB,10,12,active,1
COE-TABCAP,"CO-EZIDAY TAB",,,TAB_CAP,,TAB,TAB,TAB,17,12,active,1
EZI-50MG-TABCAP,"EZIDAY 50MG TAB",,,TAB_CAP,50MG,TAB,TAB,TAB,23.9,12,active,1
ASC-TABCAP-001,"ASCARD TAB",,,TAB_CAP,,TAB,TAB,TAB,2.96,12,active,1
ZOP-20MG-TABCAP,"ZOPENT 20MG TAB",,,TAB_CAP,20MG,TAB,TAB,TAB,27.38,12,active,1
CIT-5MG-TABCAP,"CITANEW 5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,63.84,12,active,1
CIT-10MG-TABCAP,"CITANEW 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,43.8,12,active,1
BET-TABCAP,"BETNISOL N TAB",,,TAB_CAP,,TAB,TAB,TAB,2.57,12,active,1
CAP-25MG-TABCAP,"CAPOTEN 25MG TAB",,,TAB_CAP,25MG,TAB,TAB,TAB,23.4,12,active,1
CAP-50MG-TABCAP,"CAPOTEN 50MG TAB",,,TAB_CAP,50MG,TAB,TAB,TAB,30.5,12,active,1
NOS-TABCAP,"NO-SPA TAB",,,TAB_CAP,,TAB,TAB,TAB,7.71,12,active,1
NOS-TABCAP-001,"NO-SPA FORT TAB",,,TAB_CAP,,TAB,TAB,TAB,19.02,12,active,1
AUG-375MG-TABCAP,"AUGMENTIN 375MG TAB",,,TAB_CAP,375MG,TAB,TAB,TAB,41.89,12,active,1
AUG-625MG-TABCAP,"AUGMENTIN 625MG TAB",,,TAB_CAP,625MG,TAB,TAB,TAB,43.43,12,active,1
AUG-1000MG-TABCAP,"AUGMENTIN 1000MG TAB",,,TAB_CAP,1000MG,TAB,TAB,TAB,61.07,12,active,1
OXC-30MG-TABCAP,"OXCYM DR 30MG CAP",,,TAB_CAP,30MG,TAB,TAB,TAB,47.5,12,active,1
OXC-60MG-TABCAP,"OXCYM DR 60MG CAP",,,TAB_CAP,60MG,TAB,TAB,TAB,72,12,active,1
SYN-75MG-TABCAP,"SYNGAB 75MG CAP",,,TAB_CAP,75MG,TAB,TAB,TAB,35.71,12,active,1
PIO-2MG-TABCAP,"PIOZER-G 15/2MG TAB",,,TAB_CAP,2MG,TAB,TAB,TAB,29,12,active,1
PIO-2MG-TABCAP-001,"PIOZER-G 30/2MG TAB",,,TAB_CAP,2MG,TAB,TAB,TAB,41,12,active,1
PIO-4MG-TABCAP,"PIOZER-G 30/4MG TAB",,,TAB_CAP,4MG,TAB,TAB,TAB,52,12,active,1
DUL-60MG-TABCAP,"DULAN 60MG TAB",,,TAB_CAP,60MG,TAB,TAB,TAB,47.14,12,active,1
LEF-5MG-TABCAP,"LEFORA 5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,0,12,inactive,1
LEF-10MG-TABCAP,"LEFORA 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,36.67,12,active,1
MYT-4MG-TABCAP,"MYTEKA 4MG TAB",,,TAB_CAP,4MG,TAB,TAB,TAB,23.14,12,active,1
MYT-5MG-TABCAP,"MYTEKA 5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,34.2,12,active,1
DAP-TABCAP,"DAPA-MAT XR 5/500",,,TAB_CAP,,TAB,TAB,TAB,32.79,12,active,1
DAP-TABCAP-001,"DAPA-MAT XR 10/500",,,TAB_CAP,,TAB,TAB,TAB,32.79,12,active,1
SIT-500MG-TABCAP,"SITAGLU MET XR 50/500MG",,,TAB_CAP,500MG,TAB,TAB,TAB,40.07,12,active,1
SIT-1000MG-TABCAP,"SITAGLU MET XR 50/1000MG",,,TAB_CAP,1000MG,TAB,TAB,TAB,40.71,12,active,1
SIT-500MG-TABCAP-001,"SITAGLU MET XR 100/500MG",,,TAB_CAP,500MG,TAB,TAB,TAB,0,12,inactive,1
SIT-1000MG-TABCAP-001,"SITAGLU MET XR 100/1000MG",,,TAB_CAP,1000MG,TAB,TAB,TAB,52.29,12,active,1
SIT-TABCAP,"SITAGLU MET 50/850",,,TAB_CAP,,TAB,TAB,TAB,36.46,12,active,1
SIT-25MG-TABCAP,"SITAGLU 25MG TAB",,,TAB_CAP,25MG,TAB,TAB,TAB,19.29,12,active,1
SIT-50MG-TABCAP,"SITAGLU 50MG TAB",,,TAB_CAP,50MG,TAB,TAB,TAB,33.39,12,active,1
XEN-5MG-TABCAP,"XENGLU-LIN 10/5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,37.14,12,active,1
XEN-10MG-TABCAP,"XENGLU 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,27.61,12,active,1
XEN-25MG-TABCAP,"XENGLU 25MG TAB",,,TAB_CAP,25MG,TAB,TAB,TAB,42.29,12,active,1
XEN-TABCAP-001,"XENGLU MET-XR 12.5/1000",,,TAB_CAP,,TAB,TAB,TAB,35.75,12,active,1
XEN-TABCAP-002,"XENGLU MET-XR 10/1000",,,TAB_CAP,,TAB,TAB,TAB,38.11,12,active,1
DAP-1000MG-TABCAP,"DAPA-MET XR 10/1000MG",,,TAB_CAP,1000MG,TAB,TAB,TAB,38.11,12,active,1
XEN-TABCAP-003,"XENGLU MET 12.5/1000",,,TAB_CAP,,TAB,TAB,TAB,35.75,12,active,1
DAP-1000MG-TABCAP-001,"DAPA -MET XR 5/1000MG",,,TAB_CAP,1000MG,TAB,TAB,TAB,33.39,12,active,1
XEN-TABCAP-004,"XENGLU MET 5/1000",,,TAB_CAP,,TAB,TAB,TAB,28.99,12,active,1
XEN-TABCAP-005,"XENGLU MET XR 25/1000",,,TAB_CAP,,TAB,TAB,TAB,52.43,12,active,1
XEN-TABCAP-006,"XENGLU MET XR 5/1000",,,TAB_CAP,,TAB,TAB,TAB,52.53,12,active,1
XEN-TABCAP-007,"XENGLU MET XR 10/1000",,,TAB_CAP,,TAB,TAB,TAB,36.24,12,active,1
XEN-TABCAP-008,"XENGLU-MET 5/850",,,TAB_CAP,,TAB,TAB,TAB,28.99,12,active,1
XEN-TABCAP-009,"XENGLU MET 12.5/850",,,TAB_CAP,,TAB,TAB,TAB,35.71,12,active,1
XEN-TABCAP-010,"XENGLU MET 5/500",,,TAB_CAP,,TAB,TAB,TAB,28.99,12,active,1
MUT-TABCAP,"MUTLIUM V TAB",,,TAB_CAP,,TAB,TAB,TAB,11,12,active,1
MUT-TABCAP-001,"MUTILIUM TAB",,,TAB_CAP,,TAB,TAB,TAB,9.8,12,active,1
IMO-TABCAP,"IMODIUM CAP",,,TAB_CAP,,TAB,TAB,TAB,6.32,12,active,1
OSN-TABCAP,"OSNATE TAB",,,TAB_CAP,,TAB,TAB,TAB,15.67,12,active,1
OSN-TABCAP-001,"OSNATE D TAB",,,TAB_CAP,,TAB,TAB,TAB,20,12,active,1
URS-500MG-TABCAP,"URSO 500MG CAP",,,TAB_CAP,500MG,TAB,TAB,TAB,126,12,active,1
URS-250MG-TABCAP,"URSO 250MG CAP",,,TAB_CAP,250MG,TAB,TAB,TAB,78.75,12,active,1
CEC-250MG-TABCAP,"CECLORE 250MG",,,TAB_CAP,250MG,TAB,TAB,TAB,52.079999999999998,12,active,1
CEC-500MG-TABCAP,"CECLOR 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,93.33,12,active,1
ADV-TABCAP,"ADVANT TAB",,,TAB_CAP,,TAB,TAB,TAB,32.14,12,active,1
GAL-50MG-TABCAP,"GALVUS 50MG",,,TAB_CAP,50MG,TAB,TAB,TAB,67.31,12,active,1
GAL-TABCAP,"GALVUS MET 50/500",,,TAB_CAP,,TAB,TAB,TAB,74.15000000000001,12,active,1
GAL-TABCAP-001,"GALVUS MET 50/850",,,TAB_CAP,,TAB,TAB,TAB,74.15000000000001,12,active,1
GAL-TABCAP-002,"GALVUS MET 50/1000",,,TAB_CAP,,TAB,TAB,TAB,74.15000000000001,12,active,1
GLY-TABCAP,"GLYZIA MET TAB",,,TAB_CAP,,TAB,TAB,TAB,34.64,12,active,1
COV-TABCAP,"COVERSAM TAB",,,TAB_CAP,,TAB,TAB,TAB,45.47,12,active,1
COV-5MG-TABCAP,"COVERSAM 4/5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,41,12,active,1
NEX-20MG-TABCAP,"NEXUM 20MG CAP",,,TAB_CAP,20MG,TAB,TAB,TAB,28.21,12,active,1
NEX-40MG-TABCAP,"NEXUM 40MG CAP",,,TAB_CAP,40MG,TAB,TAB,TAB,38.86,12,active,1
DAP-60MG-TABCAP,"DAPLAZOLE 60MG CAP",,,TAB_CAP,60MG,TAB,TAB,TAB,25,12,active,1
RAZ-30MG-TABCAP,"RAZODEX 30MG CAP",,,TAB_CAP,30MG,TAB,TAB,TAB,24,12,active,1
RAZ-60MG-TABCAP,"RAZODEX 60MG CAP",,,TAB_CAP,60MG,TAB,TAB,TAB,42,12,active,1
VIL-50MG-TABCAP,"VILGET 50MG TAB",,,TAB_CAP,50MG,TAB,TAB,TAB,36.79,12,active,1
VIL-500MG-TABCAP-001,"VILGET M 50/500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,40,12,active,1
VIL-850MG-TABCAP-001,"VILGET M 50/850MG TAB",,,TAB_CAP,850MG,TAB,TAB,TAB,40,12,active,1
VIL-1000MG-TABCAP-001,"VILGET M 50/1000MG TAB",,,TAB_CAP,1000MG,TAB,TAB,TAB,40,12,active,1
ZOL-15MG-TABCAP,"ZOLID 15MG TAB",,,TAB_CAP,15MG,TAB,TAB,TAB,29.64,12,active,1
ZOL-30MG-TABCAP,"ZOLID 30MG TAB",,,TAB_CAP,30MG,TAB,TAB,TAB,42.86,12,active,1
ZOL-45MG-TABCAP,"ZOLID 45MG TAB",,,TAB_CAP,45MG,TAB,TAB,TAB,50,12,active,1
TRE-50MG-TABCAP,"TREVIA 50MG TAB",,,TAB_CAP,50MG,TAB,TAB,TAB,35.64,12,active,1
TRE-TABCAP,"TREVIA MET 50/850",,,TAB_CAP,,TAB,TAB,TAB,41.6,12,active,1
TRE-TABCAP-001,"TREVIA MET 50/1000",,,TAB_CAP,,TAB,TAB,TAB,42,12,active,1
TRE-TABCAP-002,"TREVIA MET XR 50/1000",,,TAB_CAP,,TAB,TAB,TAB,42.79,12,active,1
TRE-TABCAP-003,"TREVIA MET XR 50/500",,,TAB_CAP,,TAB,TAB,TAB,47.21,12,active,1
TRE-TABCAP-004,"TREVIA 5/100",,,TAB_CAP,,TAB,TAB,TAB,39.43,12,active,1
TRE-100MG-TABCAP,"TREVIA 100MG TAB",,,TAB_CAP,100MG,TAB,TAB,TAB,54.64,12,active,1
TRE-100MG-TABCAP-001,"TREVIA R2 15/100MG",,,TAB_CAP,100MG,TAB,TAB,TAB,55.36,12,active,1
GET-500MG-TABCAP,"GETFORMIN 1/500MG",,,TAB_CAP,500MG,TAB,TAB,TAB,10.5,12,active,1
GET-500MG-TABCAP-001,"GETFORMIN 2/500MG",,,TAB_CAP,500MG,TAB,TAB,TAB,20.23,12,active,1
DIA-TABCAP,DIAMPA-LT,,,TAB_CAP,,TAB,TAB,TAB,55.71,12,active,1
DIA-TABCAP-001,"DIAMPA-M 5/500",,,TAB_CAP,,TAB,TAB,TAB,27.14,12,active,1
DIA-TABCAP-002,"DIAMPA-M 12.5/850",,,TAB_CAP,,TAB,TAB,TAB,35,12,active,1
DIA-TABCAP-003,"DIAMPA-M 5/1000",,,TAB_CAP,,TAB,TAB,TAB,28.93,12,active,1
DIA-TABCAP-004,"DIAMPA-M 5/850",,,TAB_CAP,,TAB,TAB,TAB,27.14,12,active,1
DIA-TABCAP-005,"DIAMPA-M XR 12.5/1000",,,TAB_CAP,,TAB,TAB,TAB,26.86,12,active,1
DIA-TABCAP-006,"DIAMPA-M 12.5/500",,,TAB_CAP,,TAB,TAB,TAB,35,12,active,1
DIA-25MG-TABCAP,"DIAMPA 25MG",,,TAB_CAP,25MG,TAB,TAB,TAB,47.14,12,active,1
DIA-10MG-TABCAP,"DIAMPA 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,34.29,12,active,1
COV-TABCAP-001,"COVAM 5/80",,,TAB_CAP,,TAB,TAB,TAB,36.43,12,active,1
COV-TABCAP-002,"COVAM 5/160",,,TAB_CAP,,TAB,TAB,TAB,45.090000000000003,12,active,1
COV-TABCAP-003,"COVAM 10/160",,,TAB_CAP,,TAB,TAB,TAB,52.74,12,active,1
GET-1MG-TABCAP,"GETRYL 1MG TAB",,,TAB_CAP,1MG,TAB,TAB,TAB,10.5,12,active,1
GET-2MG-TABCAP,"GETRYL 2MG TAB",,,TAB_CAP,2MG,TAB,TAB,TAB,20.4,12,active,1
GET-3MG-TABCAP,"GETRYL 3MG TAB",,,TAB_CAP,3MG,TAB,TAB,TAB,23.92,12,active,1
GET-4MG-TABCAP,"GETRYL 4MG TAB",,,TAB_CAP,4MG,TAB,TAB,TAB,37.1,12,active,1
DAF-500MG-TABCAP,"DAFLOAN 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,34.6,12,active,1
DIA-80MG-TABCAP,"DIAMICRAN 80MG TAB",,,TAB_CAP,80MG,TAB,TAB,TAB,13.55,12,active,1
DIA-30MG-TABCAP,"DIAMICRAN 30MG TAB",,,TAB_CAP,30MG,TAB,TAB,TAB,19.85,12,active,1
DIA-60MG-TABCAP,"DIAMICRAN 60MG TAB",,,TAB_CAP,60MG,TAB,TAB,TAB,31.5,12,active,1
ZUR-40MG-TABCAP,"ZURIG 40MG TAB",,,TAB_CAP,40MG,TAB,TAB,TAB,31,12,active,1
ZUR-80MG-TABCAP,"ZURIG 80MG TAB",,,TAB_CAP,80MG,TAB,TAB,TAB,49.5,12,active,1
PHL-50MG-TABCAP,"PHLOGEN 50MG CAP",,,TAB_CAP,50MG,TAB,TAB,TAB,20.039999999999999,12,active,1
PHL-100MG-TABCAP,"PHLOGEN 100MG CAP",,,TAB_CAP,100MG,TAB,TAB,TAB,29.75,12,active,1
VER-100MG-TABCAP,"VERMOX 100MG TAB",,,TAB_CAP,100MG,TAB,TAB,TAB,7.5,12,active,1
VER-500MG-TABCAP,"VERMOX 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,35.42,12,active,1
FEX-60MG-TABCAP,"FEXET 60MG TAB",,,TAB_CAP,60MG,TAB,TAB,TAB,20,12,active,1
FEX-120MG-TABCAP,"FEXET 120MG TAB",,,TAB_CAP,120MG,TAB,TAB,TAB,0,12,inactive,1
FEX-180MG-TABCAP,"FEXET 180MG TAB",,,TAB_CAP,180MG,TAB,TAB,TAB,40,12,active,1
NEB-5MG-TABCAP,"NEBIL 5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,27.44,12,active,1
NEB-2.5MG-TABCAP,"NEBIL 2.5MG",,,TAB_CAP,2.5MG,TAB,TAB,TAB,16.059999999999999,12,active,1
ROV-5MG-TABCAP,"ROVISTA 5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,26.24,12,active,1
ROV-10MG-TABCAP,"ROVISTA 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,43.73,12,active,1
ROV-20MG-TABCAP,"ROVISTA 20MG TAB",,,TAB_CAP,20MG,TAB,TAB,TAB,60,12,active,1
LIP-10MG-TABCAP,"LIPIGET 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,31.6,12,active,1
LIP-20MG-TABCAP,"LIPIGET 20MG TAB",,,TAB_CAP,20MG,TAB,TAB,TAB,49.9,12,active,1
LIP-40MG-TABCAP,"LIPIGET 40MG TAB",,,TAB_CAP,40MG,TAB,TAB,TAB,62.5,12,active,1
LIP-TABCAP,"LIPIGET EZ TAB",,,TAB_CAP,,TAB,TAB,TAB,34,12,active,1
LEF-250MG-TABCAP,"LEFLOX 250MG TAB",,,TAB_CAP,250MG,TAB,TAB,TAB,28.5,12,active,1
LEF-500MG-TABCAP,"LEFLOX 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,46.5,12,active,1
BIS-TABCAP,"BISMAF 24/6 TAB",,,TAB_CAP,,TAB,TAB,TAB,14.17,12,active,1
TRA-0.4MG-TABCAP,"TRAMSOLIN 0.4MG CAP",,,TAB_CAP,0.4MG,TAB,TAB,TAB,61.25,12,active,1
PRI-TABCAP,"PRIMOULT N TAB",,,TAB_CAP,,TAB,TAB,TAB,13.94,12,active,1
CLA-250MG-TABCAP,"CLARITAK 250MG TAB",,,TAB_CAP,250MG,TAB,TAB,TAB,52.28,12,active,1
CLA-500MG-TABCAP,"CLARITAK 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,32,12,active,1
CLA-TABCAP,"CLARITAK XL TAB",,,TAB_CAP,,TAB,TAB,TAB,75,12,active,1
CEF-200MG-TABCAP-001,"CEFIGET 200MG TAB",,,TAB_CAP,200MG,TAB,TAB,TAB,53.5,12,active,1
CEF-400MG-TABCAP-001,"CEFIGET 400MG TAB",,,TAB_CAP,400MG,TAB,TAB,TAB,98,12,active,1
EZI-10MG-TABCAP,"EZITA 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,48,12,active,1
COV-TABCAP-004,"COVAM PLUS TAB",,,TAB_CAP,,TAB,TAB,TAB,16.43,12,active,1
COV-80MG-TABCAP,"COVA 80MG TAB",,,TAB_CAP,80MG,TAB,TAB,TAB,19.29,12,active,1
COV-160MG-TABCAP,"COVA 160MG TAB",,,TAB_CAP,160MG,TAB,TAB,TAB,27,12,active,1
FEN-67MG-TABCAP,"FENOGET 67MG TAB",,,TAB_CAP,67MG,TAB,TAB,TAB,21.17,12,active,1
FEN-200MG-TABCAP,"FENOGET 200MG TAB",,,TAB_CAP,200MG,TAB,TAB,TAB,40,12,active,1
ZET-500MG-TABCAP,"ZETRO 500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,76.67,12,active,1
ZET-250MG-TABCAP,"ZETRO 250MG TAB",,,TAB_CAP,250MG,TAB,TAB,TAB,32.33,12,active,1
ZET-250MG-TABCAP-001,"ZETRO 250MG CAP",,,TAB_CAP,250MG,TAB,TAB,TAB,46.1,12,active,1
ZOL-850MG-TABCAP,"ZOLID PLUS 15/850MG",,,TAB_CAP,850MG,TAB,TAB,TAB,15,12,active,1
CEL-100MG-TABCAP,"CELBEX 100MG CAP",,,TAB_CAP,100MG,TAB,TAB,TAB,23.76,12,active,1
CEL-200MG-TABCAP,"CELBEX 200MG CAP",,,TAB_CAP,200MG,TAB,TAB,TAB,37.24,12,active,1
CYT-50MG-TABCAP,"CYTOPAN 50MG TAB",,,TAB_CAP,50MG,TAB,TAB,TAB,23.75,12,active,1
CYT-75MG-TABCAP,"CYTOPAN 75MG TAB",,,TAB_CAP,75MG,TAB,TAB,TAB,27,12,active,1
ART-TABCAP,"ARTHEGET DS TAB",,,TAB_CAP,,TAB,TAB,TAB,51.62,12,active,1
SOL-5MG-TABCAP,"SOLIFIN 5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,74.5,12,active,1
SOL-10MG-TABCAP,"SOLIFIN 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,115.5,12,active,1
CAR-25MG-TABCAP,"CARVIDA 25MG TAB",,,TAB_CAP,25MG,TAB,TAB,TAB,12.37,12,active,1
CAR-3.125MG-TABCAP,"CARVIDA 3.125MG TAB",,,TAB_CAP,3.125MG,TAB,TAB,TAB,16.56,12,active,1
CAR-12.5MG-TABCAP,"CARVIDA 12.5MG TAB",,,TAB_CAP,12.5MG,TAB,TAB,TAB,22.93,12,active,1
ASF-TABCAP,"ASFEN TAB",,,TAB_CAP,,TAB,TAB,TAB,4.27,12,active,1
ECP-TABCAP,"ECP TAB",,,TAB_CAP,,TAB,TAB,TAB,13,12,active,1
IKO-TABCAP,"IKODIL TAB",,,TAB_CAP,,TAB,TAB,TAB,27,12,active,1
ROT-75MG-TABCAP,"ROTIC 75MG TAB",,,TAB_CAP,75MG,TAB,TAB,TAB,23,12,active,1
COV-TABCAP-005,"COVANCE 5/80",,,TAB_CAP,,TAB,TAB,TAB,31.36,12,active,1
COV-TABCAP-006,"COVANCE 5/160",,,TAB_CAP,,TAB,TAB,TAB,36.43,12,active,1
COV-TABCAP-007,"COVANCE 10/160",,,TAB_CAP,,TAB,TAB,TAB,51.43,12,active,1
TRA-250MG-TABCAP,"TRANSAMIN 250MG TAB",,,TAB_CAP,250MG,TAB,TAB,TAB,11.6,12,active,1
MOS-TABCAP,"MOSEGAR TAB",,,TAB_CAP,,TAB,TAB,TAB,1.14,12,active,1
CEC-375MG-TABCAP,"CECLOR MR 375MG TAB",,,TAB_CAP,375MG,TAB,TAB,TAB,15,12,active,1
KOR-TABCAP,"KORAN TAB",,,TAB_CAP,,TAB,TAB,TAB,65.33,12,active,1
STA-90MG-TABCAP,"STARCOX 90MG TAB",,,TAB_CAP,90MG,TAB,TAB,TAB,25,12,active,1
